code,term,term_clean,semantic_tag
1993008,"Operation of a transportation device, function (observable entity)","Operation of a transportation device, function",observable entity
2004005,Normal blood pressure (finding),Normal blood pressure,finding
2008008,Gallium-67 (substance),Gallium-67,substance
2032001,Cerebral edema (disorder),Cerebral edema,disorder
2043009,Alcoholic gastritis (disorder),Alcoholic gastritis,disorder
2048000,Lingual tonsil structure (body structure),Lingual tonsil structure,body structure
2055003,Recurrent erosion of cornea (disorder),Recurrent erosion of cornea,disorder
2059009,Skin structure of ear lobule (body structure),Skin structure of ear lobule,body structure
2070002,Burning sensation in eye (finding),Burning sensation in eye,finding
2073000,Delusions (finding),Delusions,finding
2088005,Page blue G-90 stain (substance),Page blue G-90 stain,substance
2089002,Osteitis deformans (disorder),Osteitis deformans,disorder
2095001,Nasal sinus structure (body structure),Nasal sinus structure,body structure
2109003,Isolated somatotropin deficiency (disorder),Isolated somatotropin deficiency,disorder
2129002,Edema of pharynx (disorder),Edema of pharynx,disorder
2145000,Anal penetration (finding),Anal penetration,finding
2159007,Azorubin S stain (substance),Azorubin S stain,substance
2160002,Structure of ligamentum arteriosum (body structure),Structure of ligamentum arteriosum,body structure
2177002,Postherpetic neuralgia (disorder),Postherpetic neuralgia,disorder
2237002,Pleuritic pain (finding),Pleuritic pain,finding
2268003,Victim of homosexual aggression (finding),Victim of homosexual aggression,finding
2272004,Half-sister (person),Half-sister,person
2282003,Prosthetic breast implant (physical object),Prosthetic breast implant,physical object
2304001,Discitis (disorder),Discitis,disorder
2309006,Gold (substance),Gold,substance
2314005,Unprotected sexual intercourse (finding),Unprotected sexual intercourse,finding
2321005,Delivery by Ritgen maneuver (procedure),Delivery by Ritgen maneuver,procedure
2331003,Carbohydrate (substance),Carbohydrate,substance
2334006,Structure of calyx (body structure),Structure of calyx,body structure
2339001,Sexual overexposure (finding),Sexual overexposure,finding
2400006,Structure of permanent mandibular left first premolar tooth (body structure),Structure of permanent mandibular left first premolar tooth,body structure
2403008,Psychoactive substance dependence (disorder),Psychoactive substance dependence,disorder
2415007,Lumbosacral radiculopathy (disorder),Lumbosacral radiculopathy,disorder
2423009,Chikungunya virus (organism),Chikungunya virus,organism
2435008,Ascariasis (disorder),Ascariasis,disorder
2472002,Anuria (finding),Anuria,finding
2477008,Superficial thrombophlebitis (disorder),Superficial thrombophlebitis,disorder
2492009,Nutritional disorder (disorder),Nutritional disorder,disorder
2506003,Early onset dysthymia (disorder),Early onset dysthymia,disorder
2528003,Viremia (finding),Viremia,finding
2538008,Ketosis (disorder),Ketosis,disorder
2556008,Periodontal disease (disorder),Periodontal disease,disorder
2576002,Trachoma (disorder),Trachoma,disorder
2598006,Open heart surgery (procedure),Open heart surgery,procedure
2606006,Furuncle of perineum (disorder),Furuncle of perineum,disorder
2615004,Follicular cyst of ovary (disorder),Follicular cyst of ovary,disorder
2617007,Fall from scaffold (event),Fall from scaffold,event
